"","yy","mm","hhooks","alb_c","alb_n","yft_c","yft_n","bet_c","bet_n","mls_c","mls_n","blm_c","blm_n","bum_c","bum_n","swo_c","swo_n","oth_c","oth_n","total_c_ton","total_c_kg","total_n","cpue_c","cpue_n","alb_idv","yft_idv","bet_idv","mls_idv","blm_idv","bum_idv","swo_idv","oth_idv","Date"
"1",2000,1,614844.89,6740.484,417617,7099.646,267830,7685.888,203100,298.278,7202,184.751,3486,687.58,11352,1494.891,26423,580.129,48357,24771.647,24771647,985367,4028.92622235179,160.26269649895,16.1403486927017,26.5080312138297,37.8428754308223,41.4159955567898,52.9979919678715,60.5690627202255,56.5753699428528,11.9967946729532,"2000-01"
"2",2000,2,585645.19,6765.541,407104,6943.329,272433,7073.532,192737,261.871,6303,168.312,3217,743.376,12699,1461.08,24604,695.114,57835,24112.155,24112155,976932,4117.19508871916,166.81294693123,16.618704311429,25.4863727962471,36.7004363459014,41.5470410915437,52.3195523779919,58.5381526104418,59.383840026012,12.0189158813867,"2000-02"
"3",2000,3,647523.09,7297.718,442876,7158.284,285132,7825.443,209096,300.155,6466,199.418,3982,809.593,14144,1674.246,27983,793.87,63091,26058.727,26058727,1052770,4024.3703124162,162.584163601023,16.478016419946,25.1051583126412,37.4251205188048,46.4205072687906,50.0798593671522,57.2393240950226,59.830825858557,12.5829357594586,"2000-03"
"4",2000,4,568162.61,6103.325,365955,6397.394,236840,5334.656,141792,343.611,7378,171.216,3652,644.119,11346,1674.766,24703,1202.729,65818,21871.816,21871816,857484,3849.569756095,150.922286139174,16.6778019155361,27.0114592129708,37.6231099074701,46.572377338032,46.8828039430449,56.770579940067,67.7960571590495,18.2735573855176,"2000-04"
"5",2000,5,720690.37,5408.656,352995,7425.267,290212,6116.888,167748,304.464,6081,191.646,4116,861.354,14184,1306.964,22624,2114.914,99609,23730.153,23730153,957569,3292.69738958771,132.868294049773,15.3221886995567,25.5856649621656,36.4647447361519,50.0680809077454,46.5612244897959,60.7271573604061,57.7689179632249,21.2321577367507,"2000-05"
"6",2000,6,659685.68,5271.25,332534,8470.812,313040,6930.745,188004,197.337,3951,244.567,4974,768.699,12814,1149.768,20973,2178.911,103581,25212.089,25212089,979871,3821.83360414918,148.536042195125,15.8517625265386,27.0598389982111,36.8648805344567,49.9460895975702,49.1690792119019,59.9889964101764,54.8213417250751,21.0358173796353,"2000-06"
"7",2000,7,648725.24,5204.765,329073,11060.635,367644,7194.993,186073,251.649,4662,325.423,6664,861.07,13948,974.38,19123,1511.726,87582,27384.641,27384641,1014769,4221.30037672035,156.425083753486,15.816444983332,30.0851775086769,38.6675820780016,53.9787644787645,48.8329831932773,61.7342988242042,50.9533023061235,17.2606928364276,"2000-07"
"8",2000,8,625970.43,4154.945,277862,10715.853,350822,7173.843,177205,240.196,4382,294.43,6211,926.549,16058,798.332,16248,984.564,78075,25288.712,25288712,926863,4039.92118285843,148.068176319447,14.9532681690911,30.5449857762626,40.4832990039784,54.814240073026,47.4046047335373,57.700149458214,49.1341703594289,12.6104899135447,"2000-08"
"9",2000,9,600192.2,2524.652,154864,6893.579,245350,6351.574,158310,362.881,7082,282.106,5967,744.395,12455,857.583,17142,822.112,69428,18838.882,18838882,670598,3138.8082017727,111.730542316278,16.3023814443641,28.0969186875892,40.1211167961594,51.239903981926,47.2776939835763,59.766760337214,50.0281764088204,11.8412168001383,"2000-09"
"10",2000,10,631799.19,3625.495,222227,5975.134,231568,5419.022,147334,426.496,8480,221.409,4903,908.5,16477,1050.031,18851,920.611,84348,18546.698,18546698,734188,2935.53684359741,116.205910298809,16.3143767409001,25.8029347750985,36.7805258799734,50.2943396226415,45.157862533143,55.1374643442374,55.7016073417856,10.9144378052829,"2000-10"
"11",2000,11,626883.84,5271.057,301045,5684.411,210770,4695.672,128479,465.948,9024,151.539,3120,676.341,12797,1164.87,19232,866.707,65018,18976.545,18976545,749485,3027.12301532609,119.557237270624,17.5091996213191,26.9697347819898,36.5481674047899,51.6343085106383,48.5701923076923,52.8515277018051,60.5693635607321,13.3302623888769,"2000-11"
"12",2000,12,578356.22,5251.133,300164,4870.631,173157,4290.622,119440,346.221,7285,131.618,2702,561.783,10042,1048.19,16282,617.16,55403,17117.358,17117358,684475,2959.65659364742,118.348342480003,17.4942131634706,28.1284094781037,35.9228231748158,47.5251887439945,48.7113249444856,55.943337980482,64.377226384965,11.1394689818241,"2000-12"
"13",2001,1,745386.25,7203.199,426185,7750.975,279575,7223.438,197485,278.691,7831,109.53,2349,796.71,14975,1316.642,23496,547.564,59291,25226.749,25226749,1011187,3384.38614879199,135.659465143072,16.9015779532363,27.7241348475364,36.5771476314657,35.5881752011237,46.6283524904215,53.2026711185309,56.0368573374191,9.23519589819703,"2001-01"
